,l_knee_pos,l_hall_pos,l_knee_vel,l_hall_vel,l_knee_eff,r_knee_pos,r_hall_pos,r_knee_vel,r_hall_vel,r_knee_eff,imu,l_pressure,r_pressure,command,timestamp
23,1.0037134885787964,0.5951087067369372,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.059913475066423416, -0.1256837248802185, -0.2969444692134857, -0.9446893334388733, -0.021305613219738007, -0.0756349265575409, -0.12996423244476318, -3.4934463500976562, -0.09855709969997406, 9.166654586791992]","[0.0, 0.0, 0.0, 0.0]","[0.4218521168522805, 0.0, 1.213310598288324, 0.0]",[],1661436447.930079
24,1.0037134885787964,0.5951087067369372,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2670309245586395,"[0.05995013564825058, -0.12570098042488098, -0.2967222034931183, -0.9447545409202576, -0.024501454085111618, -0.06924324482679367, -0.12676839530467987, -3.4934463500976562, -0.14163170754909515, 9.266129493713379]","[0.04317950577333831, 0.0, 0.040249073421207204, 0.0]","[0.41135919281695016, 0.0, 1.1718075215116588, 0.0]",[],1661436447.9343123
25,1.0037134885787964,0.5951087067369372,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.27370670437812805,"[0.06000581011176109, -0.12572632730007172, -0.2964002788066864, -0.9448487162590027, -0.023436173796653748, -0.07030852138996124, -0.12037671357393265, -3.555814027786255, -0.1464177817106247, 9.14297103881836]","[0.0, 0.0, 0.08955632905345534, 0.0]","[0.524685886685915, 0.0, 1.2470850999884575, 0.0]",[],1661436447.9389775
26,1.0037134885787964,0.5951087067369372,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.06004267930984497, -0.12574897706508636, -0.29620248079299927, -0.9449054002761841, -0.024501454085111618, -0.07243908196687698, -0.10972390323877335, -3.5318264961242676, -0.14163170754909515, 9.180865287780762]","[0.0, 0.0, 0.0, 0.0]","[0.5783503973066325, 0.0, 1.3154920788588604, 0.0]",[],1661436447.9431372
27,1.0037134885787964,0.5951087067369372,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.06014633923768997, -0.1258382648229599, -0.29564961791038513, -0.9450600147247314, -0.020240332931280136, -0.07350436598062515, -0.10333222150802612, -3.555814027786255, -0.11770137399435043, 9.195075988769531]","[0.0, 0.0, 0.0, 0.0]","[0.3786809751650929, 0.0, 1.1443319189313848, 0.0]",[],1661436447.9550104
28,1.0037134885787964,0.5951087067369372,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2603551745414734,"[0.06017952412366867, -0.125881165266037, -0.29547709226608276, -0.9451061487197876, -0.023436173796653748, -0.0756349265575409, -0.09800581634044647, -3.656562328338623, -0.14163170754909515, 9.13823413848877]","[0.17109930548427357, 0.0, 0.0, 0.0]","[0.4956033362824589, 0.0, 1.1640823443577815, 0.0]",[],1661436447.9600627
29,1.0037134885787964,0.5951087067369372,0.0,0.0,0.0,-1.0016894340515137,-0.8291457197628915,0.0,0.0,-0.2670309245586395,"[0.06022331118583679, -0.12593084573745728, -0.29524317383766174, -0.9451698660850525, -0.024501454085111618, -0.07456964254379272, -0.08948357403278351, -3.6037895679473877, -0.1368456482887268, 9.157181739807129]","[0.0, 0.0, 0.0, 0.0]","[0.40836146874868406, 0.0, 1.264543626584729, 0.0]",[],1661436447.9654675
30,1.0037134885787964,0.5978260980919003,0.0,0.3359537059979809,0.0,-1.0016894340515137,-0.8341708453372121,0.0,-0.621261106433856,-0.2603551745414734,"[0.060254428535699844, -0.125975102186203, -0.2950938940048218, -0.9452086091041565, -0.021305613219738007, -0.07350436598062515, -0.08415716886520386, -3.6805498600006104, -0.09377103298902512, 9.185602188110352]","[0.0, 0.0, 0.0, 0.0]","[0.5354777823113128, 0.0, 1.2591052513769956, 0.0]",[],1661436447.973556
31,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2603551745414734,"[0.06029611825942993, -0.12604287266731262, -0.2948300540447235, -0.9452792406082153, -0.022370893508195877, -0.07776548713445663, -0.07670020312070847, -3.598992109298706, -0.09377103298902512, 9.166654586791992]","[0.0, 0.0, 0.03222318011245039, 0.0]","[0.33281063610150713, 0.0, 1.2405024743269888, 0.0]",[],1661436447.9778116
32,1.0037134885787964,0.5978260980919003,0.0,0.0,0.0,-1.0016894340515137,-0.8341708453372121,0.0,0.0,-0.2603551745414734,"[0.06033320724964142, -0.12610431015491486, -0.2946455478668213, -0.9453262090682983, -0.024501454085111618, -0.07350436598062515, -0.07137380540370941, -3.5893969535827637, -0.14163170754909515, 9.057706832885742]","[0.0, 0.0, 0.0, 0.0]","[0.3214185728049767, 0.0, 1.3091948787003282, 0.0]",[],1661436447.983338
